Instance,Population Size,Mutation Probability,Total Fleet Size,Min Bus Line/Ind,Min Vertices in a Bus Line,Max Vertices in a Bus Line,Transfer Penalty,Unreached Stop Penalty,Best Solution Operator Cost,Best Solution Passanger Cost,Total Time
Mumford0,200,0.5,15,6,10,4,15,120,24.291666666666668,51.467997428103814,2059.2815370559692
Mumford0,200,0.5,15,6,10,4,15,120,25.95,53.620484568622864,2130.480151414871
Mumford0,200,0.1,15,6,8,3,15,120,22.96666666666667,55.180164250642974,2113.964773416519
Mumford0,200,0.5,15,6,10,4,15,120,26.057142857142857,46.17008124853869,2108.3639986515045
Mumford0,200,0.1,15,6,8,3,15,120,21.566666666666666,59.101560673369185,2077.316374063492
Mumford0,200,0.25,15,6,8,3,15,120,23.666666666666668,46.61526771101239,2005.034696817398
Mumford0,200,0.25,15,6,8,3,15,120,22.035714285714285,51.007715688566755,1996.411041021347
Mumford0,200,0.1,15,6,8,3,15,120,21.02857142857143,59.602057516951135,2019.163660287857
Mumford0,200,0.1,15,6,8,3,15,120,21.833333333333332,43.90616962824409,2009.0874531269073
Mumford0,200,0.1,15,6,8,3,15,120,20.711904761904762,50.07006955810147,2053.8492715358734
Mumford0,200,0.1,15,6,8,3,15,120,25.825,46.74812953004442,2084.1574051380157
Mumford0,200,0.1,15,6,8,3,15,120,21.779761904761905,50.586947626841244,1895.6674263477325
Mumford0,200,0.25,15,6,8,3,15,120,24.63809523809524,48.20217149871405,2115.5175573825836
Mumford0,200,0.25,15,6,8,3,15,120,28.45,46.17642331073182,1865.3205466270447
Mumford0,200,0.5,15,6,8,3,15,120,22.066666666666666,50.17246317512275,2030.1338880062103
Mumford0,200,0.5,15,6,8,3,15,120,19.6,51.940364157119475,2067.9005370140076
Mumford0,200,0.25,15,6,8,3,15,120,21.166666666666668,51.82692307692308,2014.4569885730743
Mumford0,200,0.25,15,6,8,3,15,120,21.214285714285715,52.064180500350716,2034.1645665168762
Mumford0,200,0.25,15,6,8,3,15,120,24.299999999999997,54.7288695347206,2096.3673329353333
Mumford0,200,0.25,15,6,8,3,15,120,28.0,42.34611000701426,1836.7784111499786
Mumford0,200,0.25,15,6,8,3,15,120,22.576190476190476,49.698299041384146,2032.8932600021362
Mumford0,200,0.5,15,6,8,3,15,120,22.0,50.77215337853636,2001.3326048851013
Mumford0,200,0.5,15,6,8,3,15,120,20.833333333333332,56.98268353986439,2030.291650056839
Mumford0,200,0.1,15,6,10,3,15,120,20.583333333333332,56.10259819967267,1965.4677958488464
Mumford0,200,0.5,15,6,8,3,15,120,20.636904761904763,50.51812017769465,2112.254419326782
Mumford0,200,0.1,15,6,10,3,15,120,24.06666666666667,52.88783025485153,2146.348034620285
Mumford0,200,0.5,15,6,8,3,15,120,20.90714285714286,50.737140519055416,2073.446958065033
Mumford0,200,0.5,15,6,8,3,15,120,23.425,47.417202478372694,2120.8292801380157
Mumford0,200,0.5,15,6,8,3,15,120,24.166666666666664,48.90054360533084,2128.1196954250336
Mumford0,200,0.5,15,6,8,3,15,120,23.333333333333332,47.09951484685527,2011.5783731937408
Mumford0,200,0.1,15,6,10,3,15,120,21.285714285714285,59.97024783726911,1972.262989282608
Mumford0,200,0.1,15,6,10,3,15,120,22.619047619047617,48.92149871405191,1978.9619505405426
Mumford0,200,0.25,15,6,10,3,15,120,23.322222222222223,46.70268295534253,1946.9424002170563
Mumford0,200,0.25,15,6,10,3,15,120,22.416666666666664,46.348769581482344,1918.2225513458252
Mumford0,200,0.1,15,6,10,3,15,120,25.366666666666667,48.77813011456629,1968.469129562378
Mumford0,200,0.1,15,6,10,3,15,120,23.083333333333336,54.66677870002338,2004.2552106380463
Mumford0,200,0.1,15,6,10,3,15,120,23.119047619047617,48.18609714753332,1930.3383626937866
Mumford0,200,0.1,15,6,10,3,15,120,21.077380952380953,53.281374210895486,1946.0937452316284
Mumford0,200,0.1,15,6,10,3,15,120,22.13690476190476,52.54030278232406,2084.1189177036285
Mumford0,200,0.25,15,6,10,3,15,120,24.46666666666667,53.27655190554127,2058.472541332245
Mumford0,200,0.25,15,6,10,3,15,120,27.55,45.00882628010287,2010.6934340000153
Mumford0,200,0.5,15,6,10,3,15,120,20.73333333333333,57.597220598550386,1954.7822678089142
Mumford0,200,0.25,15,6,10,3,15,120,24.69047619047619,51.38436696282441,1939.013568162918
Mumford0,200,0.5,15,6,10,3,15,120,22.947619047619046,51.83497486555997,1993.0057373046875
Mumford0,200,0.25,15,6,10,3,15,120,21.633333333333333,50.02246025251345,1703.3409481048584
Mumford0,200,0.25,15,6,10,3,15,120,23.727777777777778,50.66037818564414,2022.401720046997
Mumford0,200,0.25,15,6,10,3,15,120,28.190476190476193,43.44381283610007,1905.266798734665
Mumford0,200,0.5,15,6,10,3,15,120,23.170238095238094,49.38759644610708,1800.0489399433136
Mumford0,200,0.25,15,6,10,3,15,120,27.32142857142857,45.45550327332242,1968.2915449142456
Mumford0,200,0.5,15,6,10,3,15,120,22.70714285714286,53.58642155716624,1831.2878754138947
Mumford0,200,0.5,15,6,10,3,15,120,22.93333333333333,53.57658697685294,1081.9490022659302
Mumford0,200,0.5,15,6,10,3,15,120,22.428571428571427,53.66844458732756,1249.8246486186981
Mumford0,200,0.5,15,6,10,3,15,120,24.73333333333333,52.24371638999298,1119.3815672397614
Mumford0,200,0.5,15,6,10,3,15,120,20.533333333333335,54.97764203881225,1302.2166728973389
Mumford0,200,0.5,15,6,10,3,15,120,25.21904761904762,49.197977554360534,1230.3249824047089
